"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1971152159527010607","Thu Sep 25 09:57:51 +0000 2025","5","Kebijakan cukai tembakau jadi sorotan! Menkeu Purbaya disebut terkejut dengan cukai yang mencapai 57%. Tetapi menurut Ichsanuddin Noorsy ini cuma gaya komunikasi semata atau justru pencitraan? Saksikan #HotroomMetroTV episode CUKAI R0K0K SOLUSI 'ASAP' UNTUK MASALAH https://t.co/bg7LyVLsCz","1971152159527010607","https://pbs.twimg.com/amplify_video_thumb/1971148992429109249/img/F84fUhSIfJHAz8EL.jpg","","in","","0","2","0","https://x.com/undefined/status/1971152159527010607","57261519",
"1971119153349263508","Thu Sep 25 09:57:20 +0000 2025","0","@hnirankara Kenapa gak yapping soal pak Purbaya lagi? Kenapa?","1971152029012951422","","hnirankara","in","","1","0","0","https://x.com/undefined/status/1971152029012951422","1923456783009579011",
"1971148017907708275","Thu Sep 25 09:41:24 +0000 2025","0","Menteri Keuangan Purbaya Yudhi Sadewa dibuat terkejut oleh tingginya tarif cukai hasil tembakau di Indonesia. Meskipun tingginya angka tersebut merupakan langkah pemerintah untuk mengendalikan konsumsi tersimpan dilema besar antara kepentingan fiskal kesehatan dan nasib https://t.co/dypV50JPvX","1971148017907708275","https://pbs.twimg.com/amplify_video_thumb/1971147873824931845/img/PbkFWv4tVwUkb_re.jpg","","in","","0","1","0","https://x.com/undefined/status/1971148017907708275","57261519",
"1971146062896431481","Thu Sep 25 09:33:39 +0000 2025","0","Tiba2 saya teringat ucapan Menteri Keuangan Purbaya Yudhi Sadewa saat mengomentari cukai rokok. Ia kaget cukai rokok tinggi sekali katanya Firaun lu? Anda pernah gak mendengar pejabat negara yg menyoroti mahalnya harga buku?","1971146069707981265","","firdausyaihfa","in","","0","1","0","https://x.com/undefined/status/1971146069707981265","117677438",
"1971145732741845272","Thu Sep 25 09:32:19 +0000 2025","2","Purbaya Janji Kumpulkan Pengusaha Rokok Minggu Ini https://t.co/uOFTA1yAOw","1971145732741845272","","","in","","0","0","0","https://x.com/undefined/status/1971145732741845272","847372542830444544",
"1971144548501029324","Thu Sep 25 09:27:37 +0000 2025","2","Purbaya Koboi atau Progresif? Presiden RI Prabowo Subianto pada Senin (8/9/2025) melantik Purbaya Yudhi Sadewa sebagai Menteri Keuangan menggantikan Sri Mulyani Indrawati. Seusai dilantik Purbaya sempat mengomentari 17+8 Tuntutan Rakyat sebagai suara sebagian kecil rakyat yang https://t.co/p8KtQi9uJv","1971144548501029324","https://pbs.twimg.com/amplify_video_thumb/1971144082727763972/img/8teSgcnRAEeK0qdv.jpg","","in","","0","0","0","https://x.com/undefined/status/1971144548501029324","68930552",
"1971144481304133908","Thu Sep 25 09:27:21 +0000 2025","0","A really Good News. Semangat Pak Purbaya! ","1971144481304133908","","","in","","0","0","0","https://x.com/undefined/status/1971144481304133908","903031793170788353",
"1971142940744614344","Thu Sep 25 09:21:13 +0000 2025","4","Menteri Keuangan Purbaya Yudhi Sadewa menegaskan pemerintah tidak akan menambah utang secara berlebihan. Ia memperkirakan realisasi penarikan utang akan lebih kecil dari yang sudah tertulis dalam Anggaran Pendapatan dan Belanja Negara (APBN). Menkeu Purbaya menjelaskan https://t.co/Dn0iTK661P","1971142940744614344","https://pbs.twimg.com/amplify_video_thumb/1971142369237139456/img/tgG6uuJBehAzritb.jpg","","in","","0","1","1","https://x.com/undefined/status/1971142940744614344","57261519",
"1971141795913605307","Thu Sep 25 09:16:46 +0000 2025","0","Menurut kalian keputusan Purbaya tolak tax amnesty ini tepat atau pemerintah sebaiknya kasih amnesti lagi buat kejar target penerimaan? ","1971141818130759737","","InvestorID","in","","0","1","0","https://x.com/undefined/status/1971141818130759737","238091066",
"1971141795913605307","Thu Sep 25 09:16:44 +0000 2025","0","Purbaya lebih pilih kejar 200 penunggak pajak besar yang sudah inkrah di pengadilan dengan total tunggakan Rp60 triliun. Ini lebih adil dan efektif daripada kasih diskon ke yang malas bayar pajak.","1971141811730251843","","InvestorID","in","","0","1","0","https://x.com/undefined/status/1971141811730251843","238091066",
"1971141795913605307","Thu Sep 25 09:16:41 +0000 2025","0","Menkeu Purbaya tegas tolak tax amnesty jilid III dan keluarkan dari Prolegnas 2025. Ekonom Achmad Nur Hidayat dukung penuh keputusan ini karena bisa jaga kepatuhan wajib pajak.","1971141798543360436","","InvestorID","in","","0","1","0","https://x.com/undefined/status/1971141798543360436","238091066",
"1971141795913605307","Thu Sep 25 09:16:40 +0000 2025","1","Purbaya Tolak Tax Amnesty Lagi Ini Alasannya! https://t.co/dQ5d1ueEpE","1971141795913605307","https://pbs.twimg.com/media/G1rmeNLbwAA4o86.jpg","","in","","0","1","0","https://x.com/undefined/status/1971141795913605307","238091066",
"1971141777534091336","Thu Sep 25 09:16:36 +0000 2025","0","Daripada kepala BGN masih ngeyel untuk terus lanjutkan MBG. Sebaiknya @KemenkeuRI Purbaya tarik anggaran MBG. Stop sementara.","1971141777534091336","","","in","","0","0","0","https://x.com/undefined/status/1971141777534091336","1766477518784380928",
"1971141373735604460","Thu Sep 25 09:15:00 +0000 2025","1","Meski punya harta Rp392 M istri Menkeu Purbaya tetap merakyat! Hobinya bikin kaget cuma naik... Penasaran? Cek di sini: https://t.co/dE1BfoPoQS","1971141373735604460","","","in","","0","0","1","https://x.com/undefined/status/1971141373735604460","125225621",
